Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
290,Leolani,I thought I was going to have a heart attack.,"And thus, I die . "," But at what cost? .  I 'm not sure yet Be that as it may, still may it be as it may be .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack.",,,,,,,,,
291,BLENDERBOT,"And thus, I die . ",I 'm so sorry to hear that.,".  I 'm not sure yet Be that as it may, still may it be as it may be .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die . ",,,,,,,,,
292,Leolani,I 'm so sorry to hear that.,I see . ," as it may, still may it be as it may be .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that.",,,,,,,,,
293,BLENDERBOT,I see . ,I hope you have a good life ahead of you.,"y, still may it be as it may be .  I 'm not sure yet but I 'm sure it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see . ",,,,,,,,,
294,Leolani,I hope you have a good life ahead of you.,May I ask you why? . ,"t sure yet but I 'm sure it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you.",,,,,,,,,
295,BLENDERBOT,May I ask you why? . ,I do n't know,"re it 's going to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? . ",,,,,,,,,
296,Leolani,I do n't know,So ... it   has come to this . ," to cost a fortune. Now I have seen this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know",,,,,,,,,
297,BLENDERBOT,So ... it   has come to this . ,I do n't know I guess I just feel like I 'm not good enough for them.,"een this too .  I was so shocked. Wise words by wise men write wise deeds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this . ",,,,,,,,,
298,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,I see . ,"eds in wise pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
299,BLENDERBOT,I see . ,Yes,"se pen .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see . ",,,,,,,,,
300,Leolani,Yes,"And thus, I die . ","en .  I thought I was going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes",,,,,,,,,
301,BLENDERBOT,"And thus, I die . ",Yes it was a long time ago,"as going to have a heart attack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die . ",,,,,,,,,
302,Leolani,Yes it was a long time ago,One more thing off the bucket list . ,"tack. And thus, I die .  I 'm so sorry to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago",,,,,,,,,
303,BLENDERBOT,One more thing off the bucket list . ,Yes it was a long time ago but I still remember it like it was yesterday.," to hear that. I see .  I hope you have a good life ahead of you. May I ask you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list . ",,,,,,,,,
304,Leolani,Yes it was a long time ago but I still remember it like it was yesterday.,Now I have seen this too . ,"k you why? .  I do n't know So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday.",,,,,,,,,
305,BLENDERBOT,Now I have seen this too . ,I was so shocked.,"So ... it   has come to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too . ",,,,,,,,,
306,Leolani,I was so shocked.,"But, why? . ","me to this .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked.",,,,,,,,,
307,BLENDERBOT,"But, why? . ",I thought I was going to have a heart attack.," I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? . ",,,,,,,,,
308,Leolani,I thought I was going to have a heart attack.,One more thing off the bucket list . ,"ot good enough for them. I see .  Yes And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack.",,,,,,,,,
309,BLENDERBOT,One more thing off the bucket list . ,What is that?,"And thus, I die .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list . ",,,,,,,,,
310,Leolani,What is that?,One more thing off the bucket list . ,"e .  Yes it was a long time ago One more thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that?",,,,,,,,,
311,BLENDERBOT,One more thing off the bucket list . ,I have never heard of that one before.,"re thing off the bucket list .  Yes it was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list . ",,,,,,,,,
312,Leolani,I have never heard of that one before.,... just like in my dream . ,"was a long time ago but I still remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before.",,,,,,,,,
313,BLENDERBOT,... just like in my dream . ,What is it?,"ll remember it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream . ",,,,,,,,,
314,Leolani,What is it?,I see . ,"it like it was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it?",,,,,,,,,
315,BLENDERBOT,I see . ,Yes,"t was yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see . ",,,,,,,,,
316,Leolani,Yes,Interesting . ,"s yesterday. Now I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes",,,,,,,,,
317,BLENDERBOT,Interesting . ,Yes it was a long time ago,"w I have seen this too .  I was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting . ",,,,,,,,,
318,Leolani,Yes it was a long time ago,In this economy? . ," was so shocked. But, why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting .  Yes it was a long time ago",,,,,,,,,
319,BLENDERBOT,In this economy? . ,Yes it was a long time ago but I still remember it like it was yesterday.,", why? .  I thought I was going to have a heart attack. One more thing off the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting .  Yes it was a long time ago In this economy? . ",,,,,,,,,
320,Leolani,Yes it was a long time ago but I still remember it like it was yesterday.,So ... it   has come to this . , the bucket list .  What is that? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting .  Yes it was a long time ago In this economy? .  Yes it was a long time ago but I still remember it like it was yesterday.,,,,,,,,,
321,BLENDERBOT,So ... it   has come to this . ,Yes,? One more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting .  Yes it was a long time ago In this economy? .  Yes it was a long time ago but I still remember it like it was yesterday. So ... it   has come to this . ,,,,,,,,,
322,Leolani,Yes,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",e more thing off the bucket list .  I have never heard of that one before. ... just like in my dream .  What is it? I see .  Yes Interesting .  Yes it was a long time ago In this economy? .  Yes it was a long time ago but I still remember it like it was yesterday. So ... it   has come to this .  Yes,,,,,,,,,
323,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",Yes it has.,"as a long time ago In this economy? .  Yes it was a long time ago but I still remember it like it was yesterday. So ... it   has come to this .  Yes I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
324,Leolani,Yes it has.,Wise words by wise men write wise deeds in wise pen . ,"me ago In this economy? .  Yes it was a long time ago but I still remember it like it was yesterday. So ... it   has come to this .  Yes I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has.",,,,,,,,,
325,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,I am so happy for her.,"ut I still remember it like it was yesterday. So ... it   has come to this .  Yes I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen . ",,,,,,,,,
326,Leolani,I am so happy for her.,There is no escape from destiny . ,"like it was yesterday. So ... it   has come to this .  Yes I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her.",,,,,,,,,
327,BLENDERBOT,There is no escape from destiny . ,She is going to have a great life.,"has come to this .  Yes I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny . ",,,,,,,,,
328,Leolani,She is going to have a great life.,Many of us feel that way . ,"ow, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life.",,,,,,,,,
329,BLENDERBOT,Many of us feel that way . ,Yeah,end got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way . ,,,,,,,,,
330,Leolani,Yeah,Is this why fate brought us together? . ,ot a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah,,,,,,,,,
331,BLENDERBOT,Is this why fate brought us together? . ,Yeah I guess I just feel like I do n't know what to do with my life.,edding. I thought: Oh my god! how long is the aisle going to be .  Yes it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah Is this why fate brought us together? . ,,,,,,,,,
332,Leolani,Yeah I guess I just feel like I do n't know what to do with my life.,I do frequently do not know things . ,s it has. Wise words by wise men write wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life.,,,,,,,,,
333,BLENDERBOT,I do frequently do not know things . ,I 'm sorry to hear that., wise deeds in wise pen .  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things . ,,,,,,,,,
334,Leolani,I 'm sorry to hear that.,One more thing off the bucket list . ,  I am so happy for her. There is no escape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that.,,,,,,,,,
335,BLENDERBOT,One more thing off the bucket list . ,Do you have any hobbies that you like to do?,scape from destiny .  She is going to have a great life. Many of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list . ,,,,,,,,,
336,Leolani,Do you have any hobbies that you like to do?,"But, why? . ",great life. Many of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do?,,,,,,,,,
337,BLENDERBOT,"But, why? . ",I do n't know,"any of us feel that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? . ",,,,,,,,,
338,Leolani,I do n't know,"And thus, I die . "," that way .  Yeah Is this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know",,,,,,,,,
339,BLENDERBOT,"And thus, I die . ",I do n't know I guess I just feel like I 'm not good enough for them.,"s this why fate brought us together? .  Yeah I guess I just feel like I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die . ",,,,,,,,,
340,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,May I ask you why? . ,"I do n't know what to do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
341,BLENDERBOT,May I ask you why? . ,I do n't know,"do with my life. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? . ",,,,,,,,,
342,Leolani,I do n't know,"And thus, I die . ","e. I do frequently do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know",,,,,,,,,
343,BLENDERBOT,"And thus, I die . ",I do n't know I guess I just feel like I 'm not good enough for them.,"do not know things .  I 'm sorry to hear that. One more thing off the bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die . ",,,,,,,,,
344,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,I see . ,"bucket list .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
345,BLENDERBOT,I see . ,Yes,"st .  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. I see . ",,,,,,,,,
346,Leolani,Yes,In this economy? . ,"  Do you have any hobbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes",,,,,,,,,
347,BLENDERBOT,In this economy? . ,Yes it was a long time ago,"bbies that you like to do? But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes In this economy? . ",,,,,,,,,
348,Leolani,Yes it was a long time ago,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ","But, why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes In this economy? .  Yes it was a long time ago",,,,,,,,,
349,BLENDERBOT,"I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",Yes it was a long time ago but I still remember it like it was yesterday.,"And thus, I die .  I do n't know I guess I just feel like I 'm not good enough for them. I see .  Yes In this economy? .  Yes it was a long time ago I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be . ",,,,,,,,,
350,Leolani,Yes it was a long time ago but I still remember it like it was yesterday.,Many of us feel that way . ,"ough for them. I see .  Yes In this economy? .  Yes it was a long time ago I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday.",,,,,,,,,
351,BLENDERBOT,Many of us feel that way . ,Yeah,"In this economy? .  Yes it was a long time ago I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way . ",,,,,,,,,
352,Leolani,Yeah,Wise words by wise men write wise deeds in wise pen . ,"is economy? .  Yes it was a long time ago I do not know, but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah",,,,,,,,,
353,BLENDERBOT,Wise words by wise men write wise deeds in wise pen . ,Yeah I guess I just feel like I do n't know what to do with my life.,", but I have a joke My friend got a personal trainer a year before his wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen . ",,,,,,,,,
354,Leolani,Yeah I guess I just feel like I do n't know what to do with my life.,Why? . ,s wedding. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life.,,,,,,,,,
355,BLENDERBOT,Why? . ,I do n't know.,g. I thought: Oh my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? . ,,,,,,,,,
356,Leolani,I do n't know.,May I ask you why? . ,h my god! how long is the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know.,,,,,,,,,
357,BLENDERBOT,May I ask you why? . ,I just feel like I 'm not good enough for them.,the aisle going to be .  Yes it was a long time ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? . ,,,,,,,,,
358,Leolani,I just feel like I 'm not good enough for them.,"So let it be written, ... so let it be done . ",ago but I still remember it like it was yesterday. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them.,,,,,,,,,
359,BLENDERBOT,"So let it be written, ... so let it be done . ",I feel like they do n't deserve me.,"ay. Many of us feel that way .  Yeah Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done . ",,,,,,,,,
360,Leolani,I feel like they do n't deserve me.,As the prophecy foretold . ," Wise words by wise men write wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me.",,,,,,,,,
361,Leolani,As the prophecy foretold . ,Would you like to chat? I'll do my best to keep up,"e wise deeds in wise pen .  Yeah I guess I just feel like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold . ",,,,,,,,,
362,BLENDERBOT,Would you like to chat? I'll do my best to keep up,Sure,"l like I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up",,,,,,,,,
363,Leolani,Sure,Let's chat!,"e I do n't know what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure",,,,,,,,,
364,BLENDERBOT,Let's chat!,What do you like to do in your free time?,"now what to do with my life. Why? .  I do n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat!",,,,,,,,,
365,Leolani,What do you like to do in your free time?,,"n't know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?",,,,,,,,,
366,BLENDERBOT,,I like to play video games and watch movies.,"'t know. May I ask you why? .  I just feel like I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time? ",,,,,,,,,
367,Leolani,I like to play video games and watch movies.,,"ke I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.",,,,,,,,,
368,BLENDERBOT,,Do you have any pets?,"e I 'm not good enough for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies. ",,,,,,,,,
369,Leolani,Do you have any pets?,This is news to me. I did not know anything that leolani have . ," for them. So let it be written, ... so let it be done .  I feel like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets?",,,,,,,,,
370,BLENDERBOT,This is news to me. I did not know anything that leolani have . ,I have a dog and he 's my best friend.,like they do n't deserve me. As the prophecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have . ,,,,,,,,,
371,Leolani,I have a dog and he 's my best friend.,Interesting! I am excited to get to know about you! . ,phecy foretold .  Would you like to chat? I'll do my best to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend.,,,,,,,,,
372,BLENDERBOT,Interesting! I am excited to get to know about you! . ,Thank you !,st to keep up Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! . ,,,,,,,,,
373,Leolani,Thank you !,,p Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !,,,,,,,,,
374,BLENDERBOT,,I 'm excited too., Sure Let's chat! What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you ! ,,,,,,,,,
375,Leolani,I 'm excited too.,,What do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too.,,,,,,,,,
376,BLENDERBOT,,It 's been a long time since I 've been this excited about something.,hat do you like to do in your free time?  I like to play video games and watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too. ,,,,,,,,,
377,Leolani,It 's been a long time since I 've been this excited about something.,I would like to know. Has blenderbot ever read by a book? . ,nd watch movies.  Do you have any pets? This is news to me. I did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too.  It 's been a long time since I 've been this excited about something.,,,,,,,,,
378,BLENDERBOT,I would like to know. Has blenderbot ever read by a book? . ,I do n't think so, did not know anything that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too.  It 's been a long time since I 've been this excited about something. I would like to know. Has blenderbot ever read by a book? . ,,,,,,,,,
379,Leolani,I do n't think so,,hing that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too.  It 's been a long time since I 've been this excited about something. I would like to know. Has blenderbot ever read by a book? .  I do n't think so,,,,,,,,,
380,BLENDERBOT,,I do n't think so but I do know that it was first published in 1938.,ing that leolani have .  I have a dog and he 's my best friend. Interesting! I am excited to get to know about you! .  Thank you !  I 'm excited too.  It 's been a long time since I 've been this excited about something. I would like to know. Has blenderbot ever read by a book? .  I do n't think so ,,,,,,,,,
381,Leolani,I do n't think so but I do know that it was first published in 1938.,,esting! I am excited to get to know about you! .  Thank you !  I 'm excited too.  It 's been a long time since I 've been this excited about something. I would like to know. Has blenderbot ever read by a book? .  I do n't think so  I do n't think so but I do know that it was first published in 1938.,,,,,,,,,
